Date,"Close","Open","High","Low","Change %"
"07/28/2026","6.778","6.757","6.778","6.757","0.07%"
"07/27/2026","6.773","6.769","6.779","6.765","-0.78%"
"07/24/2026","6.826","6.840","6.863","6.812","-0.20%"
"07/23/2026","6.840","6.801","6.840","6.801","0.57%"
"07/22/2026","6.801","6.791","6.817","6.791","0.15%"
"07/21/2026","6.791","6.772","6.792","6.751","0.28%"
"07/20/2026","6.772","6.819","6.828","6.772","-0.12%"
"07/17/2026","6.780","6.751","6.780","6.747","0.43%"
"07/16/2026","6.751","6.775","6.775","6.736","-0.35%"
"07/15/2026","6.775","6.797","6.797","6.767","-0.32%"
"07/14/2026","6.797","6.733","6.813","6.733","0.95%"
"07/13/2026","6.733","6.716","6.742","6.716","0.25%"
"07/10/2026","6.716","6.754","6.754","6.708","-0.56%"
"07/09/2026","6.754","6.766","6.770","6.744","-0.18%"
"07/08/2026","6.766","6.692","6.767","6.692","1.11%"
"07/07/2026","6.692","6.689","6.714","6.687","0.04%"
"07/06/2026","6.689","6.707","6.707","6.675","-0.27%"
"07/03/2026","6.707","6.713","6.738","6.707","-0.09%"
"07/02/2026","6.713","6.760","6.760","6.713","-0.70%"
"07/01/2026","6.760","6.753","6.768","6.735","0.10%"
"06/30/2026","6.753","6.755","6.755","6.704","-0.03%"
"06/29/2026","6.755","6.774","6.783","6.755","-0.28%"
"06/26/2026","6.774","6.774","6.774","6.774","0.00%"
"06/25/2026","6.774","6.787","6.787","6.758","-0.19%"
"06/24/2026","6.787","6.840","6.840","6.787","-0.77%"
"06/23/2026","6.840","6.851","6.851","6.824","-0.16%"
"06/22/2026","6.851","6.858","6.864","6.847","-0.10%"
"06/19/2026","6.858","6.843","6.860","6.843","0.22%"
"06/18/2026","6.843","6.865","6.874","6.832","-0.32%"
"06/17/2026","6.865","6.866","6.866","6.855","-0.01%"
"06/16/2026","6.866","6.872","6.872","6.860","-0.09%"
"06/15/2026","6.872","6.866","6.873","6.831","0.09%"
"06/12/2026","6.866","6.897","6.897","6.857","-0.45%"
"06/11/2026","6.897","6.913","6.919","6.894","-0.23%"
"06/10/2026","6.913","6.871","6.916","6.871","0.61%"
"06/09/2026","6.871","6.949","6.949","6.871","-1.12%"
"06/08/2026","6.949","6.975","6.984","6.945","-0.37%"
"06/05/2026","6.975","6.995","7.018","6.924","-0.29%"
"06/04/2026","6.995","7.025","7.025","6.987","-0.44%"
"06/03/2026","7.026","7.017","7.070","7.009","0.13%"
"06/02/2026","7.017","7.022","7.047","6.999","-0.07%"
"06/01/2026","7.022","7.003","7.052","7.003","0.27%"
"05/29/2026","7.003","6.996","7.017","6.975","0.10%"
"05/28/2026","6.996","6.996","6.996","6.996","0.00%"
"05/27/2026","6.996","6.995","7.004","6.973","0.00%"
"05/26/2026","6.996","7.025","7.043","6.996","-0.41%"
"05/25/2026","7.025","7.087","7.087","7.015","-0.89%"
"05/22/2026","7.088","7.117","7.117","7.073","-0.42%"
"05/21/2026","7.118","7.078","7.131","7.048","0.55%"
"05/20/2026","7.079","7.111","7.137","7.068","-0.45%"
"05/19/2026","7.111","7.121","7.123","7.098","-0.14%"
"05/18/2026","7.121","7.064","7.142","7.064","0.64%"
"05/15/2026","7.076","7.020","7.098","7.020","0.78%"
"05/14/2026","7.021","7.044","7.060","7.020","-0.34%"
"05/13/2026","7.045","7.047","7.057","7.022","-0.03%"
